Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2000,,
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2007,,
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2009,,
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2010,,
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2018,,
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2000,8250,981.176
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2001,8218,963.125
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2002,6020,1190.709
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2003,5900,1280.184
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2004,7033.816,1184.874
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2005,6803.196,1175.349
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2006,7188.024,1154.003
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2007,6771.66,1291.984
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2008,8622.291,1308.219
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2009,6813.14,1273.565
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2010,8206.358,1423.753
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2011,7686.737,1743.431
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2012,9479.971,2484.266
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2013,15819.044,3194.304
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2014,19730.319,3178.497
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2015,20076.731,3213.515
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2016,18043.022,3403.162
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2017,17864.006,3727
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2018,15724.355,3251.83
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2019,16820.791,3582.83
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020,13380.626,3582.83
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021,19251.238,3582.83
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022,9502.826,3465.83
Brazil,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2023,,3460.93
Brazil,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2001,,
Brazil,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2002,,
Brazil,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2003,,
Brazil,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2005,,
Brazil,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2006,,
Brazil,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2008,,
